Date,Actual_Demand,Forecast_Demand,Base_Agents_Required,Agents_With_Safety_Buffer,Recommended_Agents,Planned_Delivery_Capacity,Capacity_Surplus,Demand_Risk,Expected_Utilization_Percent,Actual_vs_Forecast,Actual_Capacity_Gap,Month
2025-10-10,1178,1096,44,51,52,1300,204,Medium,84.31,82,-122,2025-10
2025-10-11,1084,1086,44,51,52,1300,214,Normal,83.54,-2,-216,2025-10
2025-10-12,1272,1048,42,49,50,1250,202,Normal,83.84,224,22,2025-10
2025-10-13,1071,1185,48,56,56,1400,215,High,84.64,-114,-329,2025-10
2025-10-14,1244,1110,45,52,53,1325,215,Medium,83.77,134,-81,2025-10
2025-10-15,1432,1214,49,57,58,1450,236,High,83.72,218,-18,2025-10
2025-10-16,1550,1341,54,63,64,1600,259,High,83.81,209,-50,2025-10
2025-10-17,1611,1341,54,63,64,1600,259,High,83.81,270,11,2025-10
2025-10-18,1407,1370,55,64,65,1625,255,High,84.31,37,-218,2025-10
2025-10-19,1518,1338,54,63,63,1575,237,High,84.95,180,-57,2025-10
2025-10-20,1608,1296,52,60,61,1525,229,High,84.98,312,83,2025-10
2025-10-21,1443,1295,52,60,61,1525,230,High,84.92,148,-82,2025-10
2025-10-22,1360,1309,53,61,62,1550,241,High,84.45,51,-190,2025-10
2025-10-23,1097,1201,49,57,57,1425,224,High,84.28,-104,-328,2025-10
2025-10-24,1081,1152,47,55,55,1375,223,Medium,83.78,-71,-294,2025-10
2025-10-25,1090,1153,47,55,55,1375,222,Medium,83.85,-63,-285,2025-10
2025-10-26,1102,1132,46,53,54,1350,218,Medium,83.85,-30,-248,2025-10
2025-10-27,940,1110,45,52,53,1325,215,Medium,83.77,-170,-385,2025-10
2025-10-28,957,1091,44,51,52,1300,209,Medium,83.92,-134,-343,2025-10
2025-10-29,1210,1089,44,51,52,1300,211,Normal,83.77,121,-90,2025-10
2025-10-30,1053,1146,46,53,54,1350,204,Medium,84.89,-93,-297,2025-10
2025-10-31,933,1088,44,51,52,1300,212,Normal,83.69,-155,-367,2025-10
2025-11-01,1214,1058,43,50,50,1250,192,Normal,84.64,156,-36,2025-11
2025-11-02,1155,1176,48,56,56,1400,224,Medium,84.0,-21,-245,2025-11
2025-11-03,1046,1037,42,49,49,1225,188,Normal,84.65,9,-179,2025-11
2025-11-04,1002,1068,43,50,51,1275,207,Normal,83.76,-66,-273,2025-11
2025-11-05,1267,1091,44,51,52,1300,209,Medium,83.92,176,-33,2025-11
2025-11-06,1151,1168,47,55,55,1375,207,Medium,84.95,-17,-224,2025-11
2025-11-07,1415,1099,44,51,52,1300,201,Medium,84.54,316,115,2025-11
2025-11-08,1181,1319,53,61,63,1575,256,High,83.75,-138,-394,2025-11
2025-11-09,1167,1108,45,52,53,1325,217,Medium,83.62,59,-158,2025-11
2025-11-10,1095,1093,44,51,52,1300,207,Medium,84.08,2,-205,2025-11
2025-11-11,1194,1083,44,51,51,1275,192,Normal,84.94,111,-81,2025-11
2025-11-12,1248,1105,45,52,52,1300,195,Medium,85.0,143,-52,2025-11
2025-11-13,1233,1167,47,55,55,1375,208,Medium,84.87,66,-142,2025-11
2025-11-14,1140,1188,48,56,56,1400,212,High,84.86,-48,-260,2025-11
2025-11-15,1104,1098,44,51,52,1300,202,Medium,84.46,6,-196,2025-11
2025-11-16,1089,1098,44,51,52,1300,202,Medium,84.46,-9,-211,2025-11
2025-11-17,1180,1095,44,51,52,1300,205,Medium,84.23,85,-120,2025-11
2025-11-18,1256,1088,44,51,52,1300,212,Normal,83.69,168,-44,2025-11
2025-11-19,1146,1195,48,56,57,1425,230,High,83.86,-49,-279,2025-11
2025-11-20,1084,1100,44,51,52,1300,200,Medium,84.62,-16,-216,2025-11
2025-11-21,1220,1111,45,52,53,1325,214,Medium,83.85,109,-105,2025-11
2025-11-22,1123,1233,50,58,59,1475,242,High,83.59,-110,-352,2025-11
2025-11-23,1220,1081,44,51,51,1275,194,Normal,84.78,139,-55,2025-11
2025-11-24,911,1217,49,57,58,1450,233,High,83.93,-306,-539,2025-11
2025-11-25,1048,1098,44,51,52,1300,202,Medium,84.46,-50,-252,2025-11
2025-11-26,1116,1141,46,53,54,1350,209,Medium,84.52,-25,-234,2025-11
2025-11-27,914,1134,46,53,54,1350,216,Medium,84.0,-220,-436,2025-11
2025-11-28,1099,1084,44,51,52,1300,216,Normal,83.38,15,-201,2025-11
2025-11-29,1062,1095,44,51,52,1300,205,Medium,84.23,-33,-238,2025-11
2025-11-30,1116,1080,44,51,51,1275,195,Normal,84.71,36,-159,2025-11
2025-12-01,1145,1033,42,49,49,1225,192,Normal,84.33,112,-80,2025-12
2025-12-02,1041,1026,42,49,49,1225,199,Normal,83.76,15,-184,2025-12
2025-12-03,1034,1064,43,50,51,1275,211,Normal,83.45,-30,-241,2025-12
2025-12-04,1057,1021,41,48,49,1225,204,Normal,83.35,36,-168,2025-12
2025-12-05,1221,1043,42,49,50,1250,207,Normal,83.44,178,-29,2025-12
2025-12-06,999,1216,49,57,58,1450,234,High,83.86,-217,-451,2025-12
2025-12-07,995,1030,42,49,49,1225,195,Normal,84.08,-35,-230,2025-12
2025-12-08,1099,1054,43,50,50,1250,196,Normal,84.32,45,-151,2025-12
2025-12-09,1044,1035,42,49,49,1225,190,Normal,84.49,9,-181,2025-12
2025-12-10,1185,1058,43,50,50,1250,192,Normal,84.64,127,-65,2025-12
2025-12-11,1062,1048,42,49,50,1250,202,Normal,83.84,14,-188,2025-12
2025-12-12,1191,1072,43,50,51,1275,203,Normal,84.08,119,-84,2025-12
2025-12-13,994,1061,43,50,50,1250,189,Normal,84.88,-67,-256,2025-12
2025-12-14,1072,1039,42,49,49,1225,186,Normal,84.82,33,-153,2025-12
2025-12-15,1035,1083,44,51,51,1275,192,Normal,84.94,-48,-240,2025-12
2025-12-16,960,1092,44,51,52,1300,208,Medium,84.0,-132,-340,2025-12
2025-12-17,987,1057,43,50,50,1250,193,Normal,84.56,-70,-263,2025-12
2025-12-18,1122,1049,42,49,50,1250,201,Normal,83.92,73,-128,2025-12
2025-12-19,1097,1083,44,51,51,1275,192,Normal,84.94,14,-178,2025-12
2025-12-20,1116,1087,44,51,52,1300,213,Normal,83.62,29,-184,2025-12
2025-12-21,1195,1069,43,50,51,1275,206,Normal,83.84,126,-80,2025-12
2025-12-22,1286,1086,44,51,52,1300,214,Normal,83.54,200,-14,2025-12
2025-12-23,974,1176,48,56,56,1400,224,Medium,84.0,-202,-426,2025-12
2025-12-24,1113,1099,44,51,52,1300,201,Medium,84.54,14,-187,2025-12
2025-12-25,1104,1114,45,52,53,1325,211,Medium,84.08,-10,-221,2025-12
2025-12-26,1413,1119,45,52,53,1325,206,Medium,84.45,294,88,2025-12
2025-12-27,1111,1340,54,63,64,1600,260,High,83.75,-229,-489,2025-12
2025-12-28,1142,1065,43,50,51,1275,210,Normal,83.53,77,-133,2025-12
2025-12-29,958,1084,44,51,52,1300,216,Normal,83.38,-126,-342,2025-12
2025-12-30,969,1089,44,51,52,1300,211,Normal,83.77,-120,-331,2025-12
2025-12-31,1170,1088,44,51,52,1300,212,Normal,83.69,82,-130,2025-12
