Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,City,Region,Distance_KM,Pickup_Delay_Minutes,Demand_Pressure,Festival,Is_Monsoon
SYN2024010100441,34,4.6,26.879016,80.938354,26.899052,80.834162,2024-01-01,19:35:56,19:50:56,Fog,Jam,scooter,Metropolitian,110,Home,Lucknow,North,10.33,15,0.909,None,False
SYN2024010100431,40,4.3,22.632908,88.398912,22.764181,88.386704,2024-01-01,21:20:52,21:30:52,Sandstorms,Low,scooter,Metropolitian,37,Skincare,Kolkata,East,1.28,10,0.909,None,False
SYN2024010100524,26,5.0,26.960612,75.748082,27.00694,75.906709,2024-01-01,12:13:04,12:31:04,Windy,Jam,scooter,Urban,63,Jewelry,Jaipur,North,15.72,18,0.909,None,False
SYN2024010100868,41,5.0,26.881309,75.903065,26.799136,75.757887,2024-01-01,19:11:49,19:15:49,Fog,Low,motorcycle,Metropolitian,83,Snacks,Jaipur,North,14.4,4,0.909,None,False
SYN2024010100325,21,4.5,13.008577,80.133541,12.958625,79.971902,2024-01-01,19:32:44,19:44:44,Sandstorms,Low,scooter,Urban,55,Electronics,Chennai,South,17.51,12,0.909,None,False
SYN2024010100256,24,4.5,20.276588,85.877259,20.085756,85.727923,2024-01-01,17:22:51,17:34:51,Windy,Jam,scooter,Urban,108,Shoes,Bhubaneswar,East,15.59,12,0.909,None,False
SYN2024010100483,24,3.9,18.557694,73.900774,18.630769,73.8927,2024-01-01,19:56:47,20:15:47,Stormy,Jam,motorcycle,Metropolitian,67,Clothing,Pune,West,0.86,19,0.909,None,False
SYN2024010100058,27,4.2,26.847181,80.992493,27.112672,80.982738,2024-01-01,22:34:47,22:42:47,Sandstorms,Medium,scooter,Urban,48,Home,Lucknow,North,1.1,8,0.909,None,False
SYN2024010100410,31,5.0,12.921572,80.260956,13.055293,80.32596,2024-01-01,08:17:23,08:22:23,Sandstorms,Medium,scooter,Metropolitian,52,Skincare,Chennai,South,7.05,5,0.909,None,False
SYN2024010100007,28,4.6,20.293861,85.745827,20.267966,85.891338,2024-01-01,18:40:04,18:50:04,Sandstorms,Low,scooter,Metropolitian,60,Pet Supplies,Bhubaneswar,East,15.18,10,0.909,None,False
SYN2024010100437,33,4.5,12.943798,77.736866,12.927249,77.775941,2024-01-01,22:14:29,22:32:29,Sunny,Jam,motorcycle,Metropolitian,51,Shoes,Bengaluru,South,4.23,18,0.909,None,False
SYN2024010100221,26,4.6,12.986029,77.587277,12.834127,77.303761,2024-01-01,21:25:58,21:39:58,Sandstorms,Jam,motorcycle,Metropolitian,142,Electronics,Bengaluru,South,30.73,14,0.909,None,False
SYN2024010100358,27,4.4,12.927636,77.530696,12.837472,77.440211,2024-01-01,23:33:01,23:43:01,Fog,Medium,scooter,Metropolitian,68,Toys,Bengaluru,South,9.81,10,0.909,None,False
SYN2024010100502,28,4.7,23.257956,77.368877,23.181054,77.280504,2024-01-01,17:02:16,17:13:16,Cloudy,High,scooter,Metropolitian,90,Skincare,Bhopal,Central,9.03,11,0.909,None,False
SYN2024010100840,34,4.5,28.665179,77.208395,28.586624,77.099975,2024-01-01,20:49:34,20:52:34,Cloudy,Medium,motorcycle,Metropolitian,108,Skincare,Delhi,North,10.58,3,0.909,None,False
SYN2024010100735,29,4.3,13.098321,80.407241,13.105399,80.73381,2024-01-01,11:01:01,11:11:01,Cloudy,Medium,scooter,Metropolitian,142,Jewelry,Chennai,South,35.0,10,0.909,None,False
SYN2024010100238,25,4.6,28.732892,77.336218,28.622758,77.329332,2024-01-01,23:39:17,00:02:17,Cloudy,Jam,van,Metropolitian,61,Outdoors,Delhi,North,0.7,23,0.909,None,False
SYN2024010100146,42,5.0,18.493453,73.70298,18.692406,73.623518,2024-01-01,17:26:57,17:40:57,Cloudy,Jam,motorcycle,Metropolitian,68,Sports,Pune,West,8.38,14,0.909,None,False
SYN2024010100742,30,4.5,23.205654,77.457019,23.3206,77.569886,2024-01-01,23:27:27,23:38:27,Fog,High,motorcycle,Urban,91,Books,Bhopal,Central,11.53,11,0.909,None,False
SYN2024010100426,20,4.8,18.983403,72.884964,19.065305,72.924017,2024-01-01,18:31:23,18:46:23,Fog,Jam,motorcycle,Metropolitian,80,Kitchen,Mumbai,West,4.11,15,0.909,None,False
SYN2024010100321,31,4.9,13.03161,77.530238,13.105881,77.79444,2024-01-01,23:07:24,23:22:24,Windy,Jam,motorcycle,Metropolitian,127,Outdoors,Bengaluru,South,28.62,15,0.909,None,False
SYN2024010100493,29,4.4,18.550556,73.820262,18.554802,73.768323,2024-01-01,18:04:48,18:21:48,Sandstorms,Jam,motorcycle,Urban,61,Jewelry,Pune,West,5.48,17,0.909,None,False
SYN2024010100847,29,4.6,12.975629,80.287617,12.832682,80.108837,2024-01-01,19:00:01,19:17:01,Cloudy,Jam,motorcycle,Metropolitian,128,Cosmetics,Chennai,South,19.38,17,0.909,None,False
SYN2024010100014,41,4.8,23.122096,72.438733,23.273203,72.247039,2024-01-01,17:43:17,17:51:17,Sandstorms,Medium,motorcycle,Metropolitian,97,Jewelry,Ahmedabad,West,19.59,8,0.909,None,False
SYN2024010100633,34,4.6,23.062398,72.528543,23.077326,72.580103,2024-01-01,13:50:55,13:53:55,Sandstorms,Medium,motorcycle,Metropolitian,56,Jewelry,Ahmedabad,West,5.27,3,0.909,None,False
SYN2024010100195,26,4.6,26.883102,80.921664,26.640877,80.718002,2024-01-01,19:41:23,19:50:23,Stormy,Low,motorcycle,Metropolitian,78,Toys,Lucknow,North,20.23,9,0.909,None,False
SYN2024010100024,26,4.4,20.242019,85.821323,20.264792,85.906267,2024-01-01,18:56:27,19:12:27,Sandstorms,Jam,motorcycle,Metropolitian,87,Electronics,Bhubaneswar,East,8.86,16,0.909,None,False
SYN2024010100267,30,4.3,26.847004,80.885125,26.89263,80.804987,2024-01-01,09:40:33,09:52:33,Cloudy,Low,motorcycle,Metropolitian,65,Jewelry,Lucknow,North,7.95,12,0.909,None,False
SYN2024010100332,33,4.7,13.030655,80.206848,12.98517,80.17268,2024-01-01,23:32:31,23:47:31,Stormy,Medium,scooter,Metropolitian,49,Cosmetics,Chennai,South,3.7,15,0.909,None,False
SYN2024010100158,26,5.0,22.667611,88.255892,22.796815,88.071385,2024-01-01,23:04:24,23:18:24,Windy,Medium,motorcycle,Metropolitian,90,Toys,Kolkata,East,18.92,14,0.909,None,False
SYN2024010100586,36,4.4,26.989525,80.918019,26.692586,81.032663,2024-01-01,23:47:40,00:00:40,Stormy,Medium,motorcycle,Metropolitian,79,Electronics,Lucknow,North,11.39,13,0.909,None,False
SYN2024010100226,42,4.6,28.691793,77.243721,28.815193,77.272615,2024-01-01,09:55:04,10:16:04,Stormy,Jam,scooter,Metropolitian,64,Grocery,Delhi,North,2.83,21,0.909,None,False
SYN2024010100261,30,4.8,20.406637,85.904224,20.543274,85.652133,2024-01-01,08:44:51,08:58:51,Sandstorms,Low,motorcycle,Metropolitian,86,Jewelry,Bhubaneswar,East,26.26,14,0.909,None,False
SYN2024010100780,25,4.6,19.118904,72.709763,19.1299,72.473632,2024-01-01,22:03:23,22:16:23,Sunny,Jam,scooter,Metropolitian,103,Outdoors,Mumbai,West,24.81,13,0.909,None,False
SYN2024010100501,30,4.5,23.131478,77.563495,22.96969,77.561361,2024-01-01,21:33:30,21:50:30,Fog,Jam,scooter,Other,72,Home,Bhopal,Central,0.5,17,0.909,None,False
SYN2024010100148,23,4.7,23.04969,72.566992,22.86994,72.874284,2024-01-01,20:06:04,20:13:04,Fog,High,motorcycle,Metropolitian,174,Skincare,Ahmedabad,West,31.46,7,0.909,None,False
SYN2024010100578,18,4.5,23.233856,77.317785,23.139187,77.375376,2024-01-01,21:02:13,21:20:13,Stormy,Jam,motorcycle,Metropolitian,71,Home,Bhopal,Central,5.89,18,0.909,None,False
SYN2024010100591,28,4.5,23.059276,72.540377,23.024042,72.485202,2024-01-01,20:40:40,21:01:40,Stormy,High,motorcycle,Metropolitian,62,Clothing,Ahmedabad,West,5.65,21,0.909,None,False
SYN2024010100796,21,4.6,28.636456,77.326873,28.405606,77.536907,2024-01-01,11:02:26,11:08:26,Sunny,Medium,van,Urban,67,Clothing,Delhi,North,20.53,6,0.909,None,False
SYN2024010200484,24,4.7,23.260661,77.384567,23.207432,77.427427,2024-01-02,22:15:27,22:24:27,Sunny,Low,motorcycle,Metropolitian,70,Electronics,Bhopal,Central,4.38,9,0.822,None,False
SYN2024010200126,26,4.7,22.93789,72.575902,22.903186,72.525355,2024-01-02,23:29:46,23:55:46,Stormy,Jam,motorcycle,Metropolitian,77,Snacks,Ahmedabad,West,5.18,26,0.822,None,False
SYN2024010200407,31,4.4,23.14002,72.538346,22.99783,72.423892,2024-01-02,18:09:37,18:16:37,Windy,Medium,motorcycle,Metropolitian,79,Apparel,Ahmedabad,West,11.71,7,0.822,None,False
SYN2024010200288,23,4.4,22.561873,88.417335,22.607496,88.573816,2024-01-02,09:42:36,09:47:36,Windy,Medium,motorcycle,Metropolitian,86,Apparel,Kolkata,East,16.07,5,0.822,None,False
SYN2024010200312,25,4.3,23.065051,72.673874,23.140037,72.504159,2024-01-02,10:20:48,10:29:48,Stormy,Low,scooter,Metropolitian,48,Shoes,Ahmedabad,West,17.36,9,0.822,None,False
SYN2024010200568,30,4.5,22.916682,72.514537,22.856329,72.582961,2024-01-02,12:34:24,12:48:24,Fog,Jam,motorcycle,Urban,88,Home,Ahmedabad,West,7.01,14,0.822,None,False
SYN2024010200538,24,4.5,13.048024,80.35855,13.031021,80.330426,2024-01-02,22:22:55,22:32:55,Windy,Low,scooter,Urban,38,Outdoors,Chennai,South,3.05,10,0.822,None,False
SYN2024010200418,38,4.8,20.321707,85.905686,20.304906,85.972318,2024-01-02,12:57:31,13:05:31,Stormy,Medium,scooter,Metropolitian,49,Kitchen,Bhubaneswar,East,6.95,8,0.822,None,False
SYN2024010200125,37,4.5,28.555937,77.192712,28.620396,77.163205,2024-01-02,20:47:28,21:04:28,Sunny,Jam,scooter,Metropolitian,67,Pet Supplies,Delhi,North,2.88,17,0.822,None,False
SYN2024010200781,21,4.6,19.097839,72.826269,19.249331,72.896997,2024-01-02,17:15:19,17:24:19,Sandstorms,Low,van,Metropolitian,56,Grocery,Mumbai,West,7.43,9,0.822,None,False
SYN2024010200803,32,4.5,18.57178,73.754068,18.698142,73.814515,2024-01-02,15:07:36,15:28:36,Stormy,Jam,van,Other,69,Snacks,Pune,West,6.37,21,0.822,None,False
SYN2024010200279,28,4.4,17.340712,78.476702,17.540141,78.358489,2024-01-02,20:24:20,20:30:20,Sandstorms,Low,scooter,Metropolitian,51,Apparel,Hyderabad,South,12.55,6,0.822,None,False
SYN2024010200403,43,4.3,23.265903,77.203688,23.433265,77.243307,2024-01-02,22:29:40,22:35:40,Fog,Medium,scooter,Metropolitian,65,Cosmetics,Bhopal,Central,4.06,6,0.822,None,False
SYN2024010200808,28,4.7,22.766018,75.854402,22.773512,76.040491,2024-01-02,21:06:25,21:19:25,Sandstorms,Jam,scooter,Urban,94,Grocery,Indore,Central,19.08,13,0.822,None,False
SYN2024010200542,32,4.1,23.187085,77.445547,23.147455,77.52779,2024-01-02,21:42:26,21:47:26,Fog,Low,motorcycle,Metropolitian,79,Cosmetics,Bhopal,Central,8.41,5,0.822,None,False
SYN2024010200044,20,4.8,22.607022,88.34988,22.596394,88.290227,2024-01-02,20:13:40,20:31:40,Cloudy,Jam,motorcycle,Metropolitian,102,Pet Supplies,Kolkata,East,6.12,18,0.822,None,False
SYN2024010200033,34,4.8,28.682542,77.198252,28.831481,77.397911,2024-01-02,10:18:41,10:27:41,Fog,Jam,motorcycle,Urban,130,Home,Delhi,North,19.47,9,0.822,None,False
SYN2024010200078,38,4.6,17.434236,78.513214,17.211029,78.622931,2024-01-02,19:56:29,20:17:29,Cloudy,Jam,scooter,Metropolitian,89,Electronics,Hyderabad,South,11.65,21,0.822,None,False
SYN2024010200322,38,4.5,23.010082,72.529712,23.083029,72.511282,2024-01-02,21:26:20,21:32:20,Cloudy,Jam,motorcycle,Metropolitian,65,Snacks,Ahmedabad,West,1.89,6,0.822,None,False
SYN2024010200182,21,4.5,13.030854,77.700807,13.132723,77.91694,2024-01-02,10:45:25,10:56:25,Cloudy,Jam,scooter,Metropolitian,122,Toys,Bengaluru,South,23.41,11,0.822,None,False
SYN2024010200603,22,4.7,13.156123,80.221095,13.193201,80.412077,2024-01-02,18:35:09,18:45:09,Windy,Low,van,Urban,54,Grocery,Chennai,South,20.68,10,0.822,None,False
SYN2024010200580,19,4.5,13.1589,80.160321,13.173665,80.091076,2024-01-02,08:56:39,08:59:39,Cloudy,Low,motorcycle,Urban,46,Skincare,Chennai,South,7.5,3,0.822,None,False
SYN2024010200405,30,4.8,22.945277,72.532784,22.910833,72.579376,2024-01-02,16:24:16,16:37:16,Fog,Low,scooter,Metropolitian,52,Clothing,Ahmedabad,West,4.77,13,0.822,None,False
SYN2024010200229,32,4.9,18.564385,73.712331,18.733831,73.782373,2024-01-02,09:34:14,09:45:14,Stormy,Medium,motorcycle,Metropolitian,60,Apparel,Pune,West,7.39,11,0.822,None,False
SYN2024010200074,23,4.8,18.57926,73.848327,18.762639,73.827646,2024-01-02,18:59:24,19:05:24,Cloudy,Low,scooter,Metropolitian,58,Apparel,Pune,West,2.21,6,0.822,None,False
SYN2024010200702,28,4.5,28.545833,77.260485,28.526684,77.274155,2024-01-02,23:16:33,23:27:33,Fog,Medium,motorcycle,Metropolitian,34,Sports,Delhi,North,1.34,11,0.822,None,False
SYN2024010200614,23,5.0,18.347061,73.755972,18.30134,73.630703,2024-01-02,21:50:58,22:02:58,Cloudy,High,motorcycle,Metropolitian,126,Sports,Pune,West,13.22,12,0.822,None,False
SYN2024010200190,26,4.7,23.298246,77.525578,23.268048,77.612322,2024-01-02,08:01:29,08:06:29,Fog,Low,motorcycle,Metropolitian,58,Pet Supplies,Bhopal,Central,8.86,5,0.822,None,False
SYN2024010200371,26,4.6,12.916253,77.530698,12.831315,77.553021,2024-01-02,11:39:24,11:50:24,Windy,Low,scooter,Urban,43,Toys,Bengaluru,South,2.43,11,0.822,None,False
SYN2024010200439,25,4.5,26.942074,81.077893,27.040158,80.929109,2024-01-02,18:45:33,18:56:33,Sandstorms,Medium,motorcycle,Metropolitian,89,Apparel,Lucknow,North,14.74,11,0.822,None,False
SYN2024010200577,30,5.0,22.46306,88.471992,22.443367,88.633936,2024-01-02,00:18:25,00:34:25,Sunny,High,motorcycle,Metropolitian,78,Grocery,Kolkata,East,16.64,16,0.822,None,False
SYN2024010200098,27,4.3,19.136127,73.018718,19.310999,73.138671,2024-01-02,18:26:45,18:33:45,Windy,Low,motorcycle,Urban,33,Skincare,Mumbai,West,12.6,7,0.822,None,False
SYN2024010200670,37,4.8,19.199739,72.677365,19.501817,72.731453,2024-01-02,15:36:53,15:47:53,Sandstorms,Low,scooter,Metropolitian,53,Jewelry,Mumbai,West,5.7,11,0.822,None,False
SYN2024010200454,25,4.5,22.590643,88.246412,22.677248,88.353424,2024-01-02,12:14:11,12:22:11,Windy,Low,motorcycle,Metropolitian,64,Snacks,Kolkata,East,10.98,8,0.822,None,False
SYN2024010200612,23,4.3,22.700229,75.847684,22.68414,75.814947,2024-01-02,17:34:00,17:51:00,Stormy,Jam,motorcycle,Metropolitian,80,Cosmetics,Indore,Central,3.36,17,0.822,None,False
SYN2024010200240,36,4.4,17.395641,78.450853,17.370283,78.415693,2024-01-02,11:09:11,11:20:11,Windy,Medium,scooter,Urban,36,Electronics,Hyderabad,South,3.73,11,0.822,None,False
SYN2024010200414,34,4.6,18.638966,73.822574,18.665665,74.041065,2024-01-02,11:51:28,11:58:28,Cloudy,Medium,motorcycle,Metropolitian,124,Grocery,Pune,West,23.02,7,0.822,None,False
SYN2024010200037,18,4.7,13.071838,77.560559,13.339923,77.608264,2024-01-02,19:27:03,19:38:03,Stormy,Low,scooter,Metropolitian,34,Home,Bengaluru,South,5.19,11,0.822,None,False
SYN2024010200231,23,4.4,26.877758,80.983173,27.159205,81.040694,2024-01-02,21:43:10,22:05:10,Sunny,Jam,scooter,Metropolitian,85,Clothing,Lucknow,North,5.72,22,0.822,None,False
SYN2024010200281,37,4.7,28.550828,77.226613,28.395261,77.162752,2024-01-02,15:41:02,16:03:02,Stormy,Jam,motorcycle,Metropolitian,77,Cosmetics,Delhi,North,6.25,22,0.822,None,False
SYN2024010200696,40,5.0,18.96514,72.833396,18.987467,72.834341,2024-01-02,23:45:57,23:56:57,Fog,Low,motorcycle,Metropolitian,59,Electronics,Mumbai,West,0.5,11,0.822,None,False
SYN2024010200086,33,4.5,18.606943,73.927432,18.460766,73.980254,2024-01-02,19:25:15,19:33:15,Fog,High,scooter,Metropolitian,52,Pet Supplies,Pune,West,5.58,8,0.822,None,False
SYN2024010200579,23,4.4,13.051907,80.352669,13.095816,80.349455,2024-01-02,18:40:30,18:47:30,Windy,Low,scooter,Metropolitian,17,Kitchen,Chennai,South,0.5,7,0.822,None,False
SYN2024010200455,41,4.6,26.832045,80.835089,26.565858,80.689054,2024-01-02,14:17:08,14:21:08,Windy,Medium,van,Metropolitian,68,Snacks,Lucknow,North,14.52,4,0.822,None,False
SYN2024010200704,40,4.8,19.025268,72.875784,18.872166,72.914487,2024-01-02,10:03:04,10:13:04,Stormy,Low,motorcycle,Other,38,Clothing,Mumbai,West,4.08,10,0.822,None,False
SYN2024010200784,28,4.8,20.390619,85.752591,20.271378,85.830981,2024-01-02,18:24:38,18:34:38,Sandstorms,Low,motorcycle,Metropolitian,40,Cosmetics,Bhubaneswar,East,8.18,10,0.822,None,False
SYN2024010200005,31,4.8,18.473571,73.841742,18.515561,73.785331,2024-01-02,10:13:30,10:24:30,Stormy,Low,scooter,Metropolitian,58,Snacks,Pune,West,5.95,11,0.822,None,False
SYN2024010200141,26,4.3,20.490863,85.853781,20.652354,85.98536,2024-01-02,21:07:49,21:26:49,Stormy,Jam,motorcycle,Metropolitian,116,Snacks,Bhubaneswar,East,13.7,19,0.822,None,False
SYN2024010200517,30,5.0,28.616365,77.135628,28.593795,77.113757,2024-01-02,17:59:28,18:05:28,Sunny,Low,motorcycle,Metropolitian,60,Shoes,Delhi,North,2.14,6,0.822,None,False
SYN2024010300184,29,4.6,12.923835,80.226328,13.042412,80.089883,2024-01-03,21:12:28,21:20:28,Fog,Medium,motorcycle,Metropolitian,72,Grocery,Chennai,South,14.79,8,1.008,None,False
SYN2024010300939,21,4.2,13.007332,77.427064,13.088224,77.488153,2024-01-03,09:58:47,10:06:47,Cloudy,Medium,motorcycle,Metropolitian,100,Sports,Bengaluru,South,6.62,8,1.008,None,False
SYN2024010300799,30,4.7,22.501555,88.422053,22.415009,88.454421,2024-01-03,21:22:15,21:36:15,Stormy,High,motorcycle,Metropolitian,81,Sports,Kolkata,East,3.33,14,1.008,None,False
SYN2024010300134,27,4.8,26.904358,80.892577,27.240302,80.790101,2024-01-03,21:16:18,21:34:18,Stormy,Jam,scooter,Metropolitian,80,Home,Lucknow,North,10.17,18,1.008,None,False
SYN2024010300682,26,4.9,20.233463,85.860553,20.371574,85.868749,2024-01-03,08:52:20,09:07:20,Sandstorms,Jam,motorcycle,Metropolitian,69,Clothing,Bhubaneswar,East,0.9,15,1.008,None,False
SYN2024010300005,31,4.4,20.260384,85.759495,20.463472,85.914318,2024-01-03,13:04:57,13:16:57,Sunny,Jam,scooter,Metropolitian,88,Grocery,Bhubaneswar,East,16.14,12,1.008,None,False
SYN2024010300497,26,4.8,22.864236,75.778505,22.923962,75.70894,2024-01-03,20:19:49,20:35:49,Sandstorms,Jam,motorcycle,Metropolitian,73,Shoes,Indore,Central,7.13,16,1.008,None,False
SYN2024010300594,28,4.5,18.891148,72.830988,18.938285,72.923285,2024-01-03,16:22:07,16:32:07,Windy,Medium,scooter,Metropolitian,60,Books,Mumbai,West,9.71,10,1.008,None,False
SYN2024010300143,29,4.9,13.119086,77.689753,13.071999,77.616715,2024-01-03,16:08:31,16:19:31,Fog,Low,motorcycle,Metropolitian,79,Jewelry,Bengaluru,South,7.91,11,1.008,None,False
SYN2024010300728,38,4.7,26.999493,75.688808,27.144236,75.72742,2024-01-03,21:16:33,21:33:33,Stormy,High,motorcycle,Metropolitian,71,Electronics,Jaipur,North,3.83,17,1.008,None,False
SYN2024010300056,22,4.2,23.096269,72.67354,23.123662,72.719755,2024-01-03,18:17:44,18:20:44,Sunny,Low,motorcycle,Urban,54,Apparel,Ahmedabad,West,4.73,3,1.008,None,False
SYN2024010300964,28,4.5,22.71536,75.800261,22.741133,75.842144,2024-01-03,11:18:06,11:30:06,Fog,High,motorcycle,Metropolitian,89,Grocery,Indore,Central,4.3,12,1.008,None,False
SYN2024010300208,27,4.4,12.962481,77.623226,13.005611,77.457352,2024-01-03,22:27:44,22:50:44,Stormy,Jam,scooter,Metropolitian,119,Pet Supplies,Bengaluru,South,17.97,23,1.008,None,False
SYN2024010300409,25,4.5,22.876779,72.364019,22.898935,72.229281,2024-01-03,20:38:27,20:41:27,Fog,Low,motorcycle,Metropolitian,84,Sports,Ahmedabad,West,13.8,3,1.008,None,False
SYN2024010300330,34,4.3,26.907925,75.713519,26.91988,75.873514,2024-01-03,13:36:30,13:39:30,Fog,Medium,van,Metropolitian,129,Kitchen,Jaipur,North,15.86,3,1.008,None,False
SYN2024010300983,39,4.5,22.498377,88.261027,22.602109,88.292368,2024-01-03,12:08:05,12:18:05,Sandstorms,Low,motorcycle,Metropolitian,57,Books,Kolkata,East,3.22,10,1.008,None,False
SYN2024010300987,21,4.8,22.801325,75.868938,22.804554,75.944645,2024-01-03,22:23:29,22:29:29,Fog,Medium,scooter,Metropolitian,84,Outdoors,Indore,Central,7.76,6,1.008,None,False
SYN2024010300916,29,4.6,22.686997,88.478768,22.486904,88.416787,2024-01-03,21:09:03,21:24:03,Fog,High,van,Metropolitian,62,Pet Supplies,Kolkata,East,6.38,15,1.008,None,False
SYN2024010300218,26,4.3,13.04353,80.357731,12.976315,80.482574,2024-01-03,23:14:40,23:31:40,Sandstorms,Jam,scooter,Metropolitian,100,Shoes,Chennai,South,13.53,17,1.008,None,False
SYN2024010300214,34,4.9,22.685274,75.848301,22.718089,75.925196,2024-01-03,23:36:48,23:49:48,Sunny,High,motorcycle,Urban,66,Home,Indore,Central,7.89,13,1.008,None,False
SYN2024010300000,23,4.8,27.047,80.697337,27.044951,80.71794,2024-01-03,19:00:00,19:23:00,Stormy,Jam,van,Metropolitian,52,Jewelry,Lucknow,North,2.04,23,1.008,None,False
SYN2024010300613,21,4.3,17.243856,78.379888,17.179147,78.429891,2024-01-03,09:06:15,09:16:15,Sunny,Low,scooter,Metropolitian,44,Shoes,Hyderabad,South,5.31,10,1.008,None,False
SYN2024010300059,26,4.7,13.203514,80.327391,13.219817,80.459123,2024-01-03,18:44:15,19:01:15,Sandstorms,Jam,scooter,Metropolitian,100,Jewelry,Chennai,South,14.26,17,1.008,None,False
SYN2024010300675,37,4.5,17.451489,78.471733,17.620547,78.421276,2024-01-03,21:28:03,21:39:03,Fog,High,motorcycle,Metropolitian,97,Cosmetics,Hyderabad,South,5.36,11,1.008,None,False
SYN2024010300725,22,4.5,12.917965,77.53462,12.812632,77.671905,2024-01-03,21:45:46,21:57:46,Sunny,High,motorcycle,Metropolitian,104,Apparel,Bengaluru,South,14.88,12,1.008,None,False
SYN2024010300600,38,4.8,17.415039,78.475792,17.216135,78.575421,2024-01-03,19:37:09,19:52:09,Sunny,Jam,motorcycle,Metropolitian,66,Grocery,Hyderabad,South,10.58,15,1.008,None,False
SYN2024010300299,33,5.0,23.257379,77.404065,23.302483,77.257049,2024-01-03,09:09:56,09:27:56,Stormy,High,scooter,Metropolitian,97,Clothing,Bhopal,Central,15.02,18,1.008,None,False
SYN2024010300118,27,4.8,22.478125,88.446731,22.495916,88.338584,2024-01-03,23:33:42,23:36:42,Sunny,Medium,motorcycle,Metropolitian,68,Books,Kolkata,East,11.11,3,1.008,None,False
SYN2024010300615,28,5.0,18.41231,73.965089,18.373195,73.863137,2024-01-03,11:10:51,11:17:51,Fog,Low,motorcycle,Urban,48,Clothing,Pune,West,10.76,7,1.008,None,False
